"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"47009","Tiddy","Tideford","37","1969","","Yes","Yes","Yes","N"
"47010","Tamar","Crowford Bridge","77","1972","","Yes","Yes","Yes","SRP"
"47011","Plym","Carn Wood","79","1971","","Yes","Yes","Yes","SRPGEI"
"47013","Withey Brook","Bastreet","16","1972","","Yes","Yes","Yes","P"
"47014","Walkham","Horrabridge","45","1976","","Yes","Yes","Yes","PI"
"47015","Tavy","Ludbrook","197","1976","","Yes","Yes","Yes","N"
"47016","Lumburn","Lumburn Bridge","21","1976","2002","No","Yes","No","N"
"47017","Wolf","Combe Park Farm","31","1977","1986","No","Yes","No","SRP"
"47018","Thrushel","Hayne Bridge","58","1988","","No","Yes","Yes","N"
"47019","Tamar","Polson Bridge","470","1987","","No","Yes","Yes","N"
"47020","Inny","Bealsmill","105","1988","","Yes","Yes","Yes",""
"47021","Kensey","Launceston Newport","33","2002","","Yes","Yes","Yes",""
"47022","Tory Brook","Newnham Park","16","1979","","Yes","Yes","Yes",""
"47023","Tamar","Tamarstone Bridge","49","2010","","Yes","No","No",""
"47024","Tavy","Tavistock Abbey Bridge","96","1994","","Yes","Yes","Yes",""
"47025","Wolf","Germansweek","11","1992","","Yes","Yes","Yes",""
"48001","Fowey","Trekeivesteps","37","1968","","Yes","Yes","Yes","SRP"
"48003","Fal","Tregony","87","1977","","Yes","Yes","Yes","EI"
"48004","Warleggan","Trengoffe","25","1969","","Yes","Yes","Yes","N"
"48005","Kenwyn","Truro","19","1968","","Yes","Yes","Yes","N"
"48006","Cober","Helston County Bridge","38","1968","","Yes","Yes","Yes","PGI"
"48007","Kennal","Ponsanooth","27","1968","","Yes","Yes","Yes","SRPGI"
"48008","St Austell","Molingey","30","1971","","No","Yes","Yes","GI"
"48009","St Neot","Craigshill Wood","23","1971","","Yes","Yes","Yes","SRPE"
"48010","Seaton","Trebrownbridge","39","1972","","Yes","Yes","Yes","GIN"
"48011","Fowey","Restormel","169","1961","","Yes","Yes","Yes","SRP"
"48012","Fal","Trenowth","65","1998","","Yes","Yes","Yes",""
"48801","Cober","Trenear","27","1988","","Yes","Yes","Yes",""
"48803","Carnon","Bissoe","34","1994","","Yes","Yes","Yes",""
"49001","Camel","Denby","209","1964","2019","Yes","Yes","Yes","SRPE"
"49002","Hayle","St Erth","48","1957","","Yes","Yes","Yes","GI"
"49003","De Lank","De Lank","22","1966","","Yes","Yes","Yes","P"
"49004","Gannel","Gwills","41","1969","","Yes","Yes","Yes","GEI"
"49005","Bolingey Stream","Bolingey Cocks Bridge","16","2010","","Yes","Yes","Yes",""
"49006","Camel","Camelford","13","2006","","Yes","Yes","Yes",""
"49007","Denby","Bodmin Dunmere","","","","No","Yes","No","SRPE"
"49008","Penberth River","Penberth","","","","No","Yes","Yes","N"
"50001","Taw","Umberleigh","826","1958","","Yes","Yes","Yes","RP"
"50002","Torridge","Torrington","663","1962","","Yes","Yes","Yes","SRPEI"
"50003","Taw","Sticklepath","16","1975","","No","Yes","No","PG"
"50005","West Okement","Vellake","13","1975","","No","Yes","No","P"
"50006","Mole","Woodleigh","328","1965","","Yes","Yes","Yes","SRPE"
"50007","Taw","Taw Bridge","71","1973","","Yes","Yes","Yes","N"
"50008","Lew","Gribbleford Bridge","71","1988","","Yes","Yes","Yes","N"
"50009","Lew","Norley Bridge","20","1988","","Yes","Yes","Yes","N"
"50010","Torridge","Rockhay Bridge","258","1988","","No","Yes","No","N"
"50011","Okement","Jacobstowe","82","1973","","Yes","Yes","Yes","SRP"
"50012","Yeo","Veraby","54","1968","","No","Yes","No","R"
"50013","Bray","Leehamford Bridge","18","1979","","No","Yes","Yes","SP"
"50014","Yeo","Collard Bridge","80","1995","","Yes","Yes","No",""
"51001","Doniford Stream","Swill Bridge","76","1966","","Yes","Yes","No","N"
"51002","Horner Water","West Luccombe","21","1973","","Yes","Yes","No","N"
"51003","Washford","Beggearn Huish","36","1966","","Yes","Yes","Yes","N"
"52001","Axe","Wookey","18","1956","","No","Yes","No","I"
"52002","Yeo","Sutton Bingham Reservoir","30","1955","1968","No","Yes","No",""
"52003","Halsewater","Halsewater","88","1961","","Yes","Yes","No","N"
"52004","Isle","Ashford Mill","90","1962","","Yes","Yes","Yes","GE"
"52005","Tone","Bishops Hull","202","1961","","Yes","Yes","Yes","SP"
"52006","Yeo","Pen Mill","213","1963","","Yes","Yes","Yes","SPG"
"52007","Parrett","Chiselborough","75","1966","","Yes","Yes","No","E"
"52008","Tone","Clatworthy Reservoir","18","1960","1968","No","Yes","No","S"
"52009","Sheppey","Fenny Castle","60","1963","","Yes","Yes","No","SGE"
"52010","Brue","Lovington","135","1964","","Yes","Yes","Yes","SN"
"52011","Cary","Somerton","82","1965","","Yes","Yes","No","GE"
"52014","Tone","Greenham","57","1966","","Yes","Yes","No","S"
"52015","Land Yeo","Wraxall Bridge","23","1970","","Yes","Yes","No","SI"
"52016","Currypool Stream","Currypool Farm","16","1971","","Yes","Yes","No","N"
"52017","Congresbury Yeo","Iwood","67","1973","","Yes","Yes","No","S"
"52020","Gallica Stream","Gallica Bridge","16","1966","1979","No","Yes","No","N"
"52025","Hillfarrance Brook","Milverton","28","1992","","Yes","Yes","No","E"
"52026","Alham","Higher Alham","5","1982","2005","No","Yes","No","N"
"53001","Avon","Melksham","666","1953","1980","No","Yes","No","PGE"
"53002","Semington Brook","Semington","158","1953","","Yes","Yes","No","GE"
"53003","Avon","Bath St James","1595","1939","1969","No","Yes","No","PGE"
"53004","Chew","Compton Dando","130","1958","","Yes","Yes","No","SP"
"53005","Midford Brook","Midford","147","1961","","Yes","Yes","No","PGE"
"53006","Frome (Bristol)","Frenchay","149","1961","","Yes","Yes","Yes","SGE"
"53007","Frome (Somerset)","Tellisford","262","1961","","Yes","Yes","Yes","PGH"
"53008","Avon","Great Somerford","303","1964","","Yes","Yes","Yes","RG"
"53009","Wellow Brook","Wellow","73","1966","","Yes","Yes","No","N"
"53013","Marden","Stanley","99","1969","","Yes","Yes","No","PE"
"53017","Boyd","Bitton","48","1973","","Yes","Yes","No","N"
"53018","Avon","Bathford","1552","1969","","Yes","Yes","Yes","RPGE"
"53019","Woodbridge Brook","Crabb Mill","47","1974","","No","Yes","No","G"
"53020","Gauze Brook","Rodbourne","28","1968","","No","Yes","No","G"
"53022","Avon","Bath ultrasonic","1605","1976","","No","Yes","No","RPGE"
"53023","Sherston Avon","Fosseway","90","1977","","Yes","Yes","No","G"
"53024","Tetbury Avon","Brokenborough","74","1977","","No","Yes","No","GE"
"53025","Mells","Vallis","119","1980","","Yes","Yes","No","E"
"53026","Frome (Bristol)","Frampton Cotterell","79","1978","","Yes","Yes","No","N"
"53028","By Brook","Middlehill","102","1971","","Yes","Yes","No","E"
"53029","Biss","Trowbridge","78","1984","","Yes","Yes","No","I"
"54001","Severn","Bewdley","4325","1921","","Yes","Yes","Yes","SRPGEI"
"54002","Avon","Evesham","2210","1936","","Yes","Yes","Yes","SPGEI"
"54003","Vyrnwy","Vyrnwy Reservoir","94","1920","","No","Yes","No","SR"
"54004","Sowe","Stoneleigh","262","1951","","Yes","Yes","No","GEI"
"54005","Severn","Montford","2025","1953","","Yes","Yes","No","SRPE"
"54006","Stour (Worcs)","Kidderminster Callows Lane","324","1953","2010","Yes","Yes","No","EI"
"54007","Arrow","Broom","319","1957","","Yes","Yes","No","SGEI"
"54008","Teme","Tenbury","1134","1956","","Yes","Yes","Yes","EN"
"54010","Stour (Warks)","Alscot Park","319","1959","","No","Yes","No","E"
"54011","Salwarpe","Harford Hill","184","1961","","Yes","Yes","No","GEI"
"54012","Tern","Walcot","852","1960","","Yes","Yes","Yes","GEI"
"54013","Clywedog","Cribynau","57","1959","1979","No","Yes","No","SR"
"54014","Severn","Abermule","580","1962","","Yes","Yes","No","SRI"
"54015","Bow Brook","Besford Bridge","156","1969","","No","Yes","No","GEI"
"54016","Roden","Rodington","259","1961","","Yes","Yes","No","GI"
"54017","Leadon","Wedderburn Bridge","293","1962","","Yes","Yes","Yes","GEN"
"54018","Rea Brook","Hookagate","178","1962","","Yes","Yes","No","N"
"54019","Avon","Stareton","347","1962","","Yes","Yes","Yes","SEI"
"54020","Perry","Yeaton","181","1963","","Yes","Yes","No","GEI"
"54022","Severn","Plynlimon flume","9","1953","","Yes","Yes","No","N"
"54023","Badsey Brook","Offenham","96","1968","","Yes","Yes","No","PEI"
"54024","Worfe","Burcote","258","1969","","Yes","Yes","No","PGEI"
"54025","Dulas","Rhos-y-pentref","53","1969","","Yes","Yes","No","N"
"54026","Chelt","Slate Mill","35","1969","1983","Yes","Yes","No","SPEI"
"54027","Frome","Ebley Mill","198","1969","","Yes","Yes","Yes","PEI"
"54028","Vyrnwy","Llanymynech","778","1970","","Yes","Yes","No","SRPI"
"54029","Teme","Knightsford Bridge","1480","1970","","Yes","Yes","No","N"
"54032","Severn","Saxons Lode","6850","1970","","No","Yes","No","SRPGEI"
"54034","Dowles Brook","Oak Cottage","41","1971","","Yes","Yes","No","N"
"54036","Isbourne","Hinton on the Green","91","1972","","Yes","Yes","No","PEI"
"54038","Tanat","Llanyblodwel","229","1973","","Yes","Yes","Yes","EIN"
"54040","Meese","Tibberton","168","1973","","Yes","Yes","No","GEI"
"54041","Tern","Eaton upon Tern","192","1972","2015","Yes","Yes","No","GEI"
"54043","Severn","Upton On Severn","6850","1955","1970","No","Yes","No","SRPGEI"
"54044","Tern","Ternhill","93","1972","","Yes","Yes","No","GEI"
"54045","Perry","Perry Farm","49","1973","1979","No","Yes","No","GEIN"
"54046","Worfe","Cosford","55","1975","","No","Yes","No","GI"
"54047","Perry","Ruyton Bridge","155","1975","1978","No","Yes","No",""
"54048","Dene","Wellesbourne","102","1976","","No","Yes","No","EI"
"54049","Leam","Princes Drive Weir","362","1961","","No","Yes","No","SRPGE"
"54050","Leam","Eathorpe","300","1968","","No","Yes","No","P"
"54052","Bailey Brook","Ternhill","34","1970","","Yes","Yes","No","GEN"
"54053","Corve","Ludlow","164","1970","1976","No","Yes","No",""
"54054","Onny","Onibury","235","1971","1976","No","Yes","No",""
"54057","Severn","Haw Bridge","9895","1971","","Yes","Yes","Yes","SRPGEI"
"54058","Stoke Park Brook","Stoke Park","14","1972","1978","No","Yes","No","N"
"54059","Allford Brook","Allford","10","1972","1978","No","Yes","No","GI"
"54060","Potford Brook","Sandyford Bridge","25","1972","2012","No","Yes","No","G"
"54061","Hodnet Brook","Hodnet","5","1972","1977","No","Yes","No","E"
"54062","Stoke Brook","Stoke on Tern","14","1972","1983","No","Yes","No","GEIN"
"54063","Stour (Worcs)","Prestwood Hospital","90","1971","","No","Yes","No","GEI"
"54065","Roden","Stanton","210","1973","1979","No","Yes","No","GI"
"54066","Platt Brook","Platt","16","1973","1983","No","Yes","No","GIN"
"54067","Smestow Brook","Swindon","81","1973","1978","No","Yes","No",""
"54069","Springs Brook","Lower Hordley","10","1974","1978","No","Yes","No",""
"54070","War Brook","Walford","23","1974","1983","No","Yes","No","GIN"
"54080","Severn","Dolwen","174","1975","","Yes","Yes","No","SRE"
"54081","Clywedog","Bryntail","49","1977","","No","Yes","No","SR"
"54083","Crow Brook","Horton","17","1978","1983","No","Yes","No",""
"54084","Cannop Brook","Parkend","32","1978","1983","No","Yes","No","EN"
"54085","Cannop Brook","Cannop Cross","10","1979","1983","No","Yes","No","N"
"54087","Allford Brook","Childs Ercall","5","1973","2012","No","Yes","No","GI"
"54088","Little Avon","Berkeley Kennels","134","1979","","No","Yes","No","PGE"
"54089","Avon","Bredon","2674","1979","","No","Yes","No","SPGEI"
"54090","Tanllwyth","Tanllwyth Flume","1","1973","","No","Yes","No","N"
"54091","Severn","Hafren Flume","4","1973","","Yes","Yes","No","N"
"54092","Hore","Hore Flume","3","1973","","Yes","Yes","No","N"
"54094","Strine","Crudgington","96","1982","2009","No","Yes","No","GEI"
"54095","Severn","Buildwas","3717","1984","","No","Yes","No","SRPGEI"
"54096","Hadley Brook","Wards Bridge","53","1987","","No","Yes","No","RPG"
"54097","Hore","Upper Hore flume","2","1985","","No","Yes","No","N"
"54098","Cam","Cambridge","29","1992","","No","Yes","No","I"
"54099","Coley Brook","Coley Mill","37","1992","","No","Yes","No","PG"
"54100","Lonco Brook","Whitleyford Bridge","34","1994","","No","Yes","No",""
"54102","Avon","Lilbourne","109","1979","","Yes","Yes","No",""
"54106","Stour (Warks)","Shipston","185","1998","","Yes","Yes","No",""
"54107","Arrow","Studley","93","1986","","No","Yes","No",""
"54110","Severn","Deerhurst","9877","1995","","No","Yes","Yes",""
"54111","Avon","Rugby","243","1973","2012","Yes","No","No",""
"54112","Leam","Kites Hardwick","100","1990","","No","Yes","No",""
"54113","Itchen","Southam","106","2000","","No","Yes","No",""
"54114","Avon","Warwick","1012","1986","","Yes","Yes","No",""
"54115","Piddle Brook","Wyre Piddle","105","2000","","No","Yes","No",""
"54906","Stour (Worcs)","Kidderminster Gilt Edge","324","1952","1985","Yes","No","No",""
"54907","Arrow","Broom","319","1956","1978","Yes","No","No",""
"55002","Wye","Belmont","1896","1935","","Yes","Yes","No","S"
"55003","Lugg","Lugwardine","886","1939","","No","Yes","No","N"
"55004","Irfon","Abernant","73","1937","1982","Yes","Yes","No","N"
"55005","Wye","Rhayader","167","1937","1969","Yes","Yes","No","N"
"55006","Elan","Caban Coch Reservoir","184","1908","1984","No","Yes","No","SP"
"55007","Wye","Erwood","1282","1937","","Yes","Yes","No","SPE"
"55008","Wye","Cefn Brwyn","11","1951","","Yes","Yes","No","N"
"55009","Monnow","Kentchurch","357","1948","1972","Yes","Yes","No","N"
"55010","Wye","Pant Mawr","27","1955","1982","Yes","Yes","No","N"
"55011","Ithon","Llandewi","111","1959","1982","No","Yes","No","N"
"55012","Irfon","Cilmery","244","1966","","Yes","Yes","No","N"
"55013","Arrow","Titley Mill","126","1966","","Yes","Yes","No","N"
"55014","Lugg","Byton","203","1966","","Yes","Yes","No","P"
"55015","Honddu","Tafolog","25","1966","","No","Yes","No",""
"55016","Ithon","Disserth","358","1968","","Yes","Yes","No","N"
"55017","Chwefru","Carreg-y-wen","29","1968","1982","No","Yes","No","N"
"55018","Frome","Yarkhill","144","1968","","Yes","Yes","No","E"
"55020","Pinsley Brook","Cholstrey Mill","24","1970","2007","No","Yes","No",""
"55021","Lugg","Butts Bridge","371","1969","","Yes","Yes","Yes","P"
"55022","Trothy","Mitchel Troy","142","1969","1982","No","Yes","No","N"
"55023","Wye","Redbrook","4010","1936","","Yes","Yes","No","SPE"
"55025","Llynfi","Three Cocks","132","1970","","Yes","Yes","No","N"
"55026","Wye","Ddol Farm","174","1937","","Yes","Yes","No",""
"55027","Rudhall Brook","Sandford Bridge","13","1971","1998","No","Yes","No","I"
"55028","Frome","Bishops Frome","78","1971","","No","Yes","No","N"
"55029","Monnow","Grosmont","354","1972","","Yes","Yes","No","N"
"55030","Claerwen","Dol-y-mynach","95","1925","1950","No","Yes","No","S"
"55031","Yazor Brook","Three Elms","42","1972","","No","Yes","No","I"
"55032","Elan","Caban Dam","184","1977","","Yes","Yes","No","SRP"
"55033","Wye","Gwy flume","4","1973","","Yes","Yes","No","N"
"55034","Cyff","Cyff flume","3","1973","","Yes","Yes","No","N"
"55035","Iago","Iago flume","1","1973","1999","Yes","Yes","No","N"
"55036","Garren","Marstow Mill","91","1996","","No","Yes","No","EI"
"56001","Usk","Chainbridge","912","1957","","Yes","Yes","No","SRP"
"56002","Ebbw","Rhiwderin","217","1957","","Yes","Yes","No","SPG"
"56003","Honddu","The Forge Brecon","62","1963","1984","Yes","Yes","No","N"
"56004","Usk","Llandetty","544","1965","","Yes","Yes","No","S"
"56005","Lwyd","Ponthir","98","1966","1998","No","Yes","No","SPGI"
"56006","Usk","Trallong","184","1963","1984","Yes","Yes","No","S"
"56007","Senni","Pont-Hen-Hafod","20","1967","","No","Yes","No","N"
"56011","Sirhowy","Wattsville","76","1970","1983","Yes","Yes","No","S"
"56012","Grwyne","Millbrook","82","1970","","Yes","Yes","No","S"
"56013","Yscir","Pont-Ar-Yscir","63","1972","","Yes","Yes","No","N"
"56014","Usk","Usk Reservoir","17","1979","","No","Yes","No","S"
"56015","Olway Brook","Olway Inn","105","1976","","No","Yes","No","N"
"56019","Ebbw","Aberbeeg","72","1984","","Yes","Yes","No",""
"57001","Taf Fechan","Taf Fechan Reservoir","34","1937","1973","No","Yes","No","S"
"57002","Taf Fawr","Llwynon Reservoir","43","1931","","No","Yes","No","S"
"57003","Taff","Tongwynlais","487","1961","1972","No","Yes","No","SEI"
"57004","Cynon","Abercynon","106","1957","","Yes","Yes","No","SE"
"57005","Taff","Pontypridd","455","1968","","Yes","Yes","No","SGEI"
"57006","Rhondda","Trehafod","101","1968","","Yes","Yes","No","SPGE"
"57007","Taff","Fiddlers Elbow","195","1973","","Yes","Yes","No","SGEI"
"57008","Rhymney","Llanedeyrn","179","1973","","Yes","Yes","No","SPGE"
"57009","Ely","St Fagans","145","1975","","Yes","Yes","No","EI"
"57010","Ely","Lanelay","39","1974","","Yes","Yes","No","EI"
"57014","Rhymney","Bargoed","63","1978","","Yes","Yes","No","SE"
"57015","Taff","Merthyr Tydfil","104","1978","","Yes","Yes","No","SP"
"57017","Rhondda Fawr","Tynewydd","17","2001","","Yes","Yes","No",""
"58001","Ogmore","Bridgend","158","1960","","Yes","Yes","No","PEI"
"58002","Neath","Resolven","191","1978","","Yes","Yes","No","SPEI"
"58003","Ewenny","Ewenny Priory","63","1962","1970","No","Yes","No","E"
"58004","Afan","Cwmafan","82","1961","","No","Yes","No","P"
"58005","Ogmore","Brynmenyn","74","1969","","Yes","Yes","No","E"
"58006","Mellte","Pontneddfechan","66","1971","","Yes","Yes","No","SP"
"58007","Llynfi","Coytrahen","50","1970","","Yes","Yes","No","EI"
"58008","Dulais","Cilfrew","43","1971","","Yes","Yes","No","E"
"58009","Ewenny","Keepers Lodge","63","1971","","Yes","Yes","No","E"
"58010","Hepste","Esgair Carnau","11","1975","","No","Yes","No","N"
"58011","Thaw","Gigman Bridge","49","1976","","No","Yes","No","GE"
"58012","Afan","Marcroft Weir","88","1978","","Yes","Yes","No",""
"59001","Tawe","Ynystanglws","228","1957","","Yes","Yes","No","GEI"
"59002","Loughor","Tir-y-dail","46","1974","","Yes","Yes","No","PGEI"
"60001","Tywi","Ty Castell","1088","1958","","Yes","No","No","SRPGEI"
"60002","Cothi","Felin Mynachdy","298","1961","","Yes","Yes","No","N"
"60003","Taf","Clog-y-Fran","217","1965","","Yes","Yes","No","N"
"60004","Dewi Fawr","Glasfryn Ford","37","1969","","No","Yes","No","E"
"60005","Bran","Llandovery","67","1971","","Yes","Yes","No","I"
"60006","Gwili","Glangwili","130","1972","","Yes","Yes","No","PEIN"
"60007","Tywi","Dolau Hirion","232","1968","","Yes","Yes","No","SREI"
"60008","Tywi","Ystradffin","90","1972","","No","Yes","No","SR"
"60009","Sawdde","Felin-y-cwm","78","1970","","Yes","Yes","No","SP"
"60010","Tywi","Capel Dewi","1090","1959","","No","Yes","No","RP"
"60012","Twrch","Ddol Las","21","1970","","Yes","Yes","No","N"
"60013","Cothi","Pont Ynys Brechfa","262","1971","1976","Yes","Yes","No","N"
"61001","Western Cleddau","Prendergast Mill","198","1965","","Yes","Yes","No","PEI"
"61002","Eastern Cleddau","Canaston Bridge","183","1960","","Yes","Yes","No","SRPE"
"61003","Gwaun","Cilrhedyn Bridge","31","1969","","Yes","Yes","No","N"
"62001","Teifi","Glanteifi","894","1959","","Yes","Yes","No","SP"
"62002","Teifi","Llanfair","510","1970","","Yes","Yes","No",""
"63001","Ystwyth","Pont Llolwyn","170","1963","","Yes","Yes","No","N"
"63002","Rheidol","Llanbadarn Fawr","182","1965","","No","Yes","No","SPGH"
"63003","Wyre","Llanrhystud","41","1969","","Yes","Yes","No","N"
"63004","Ystwyth","Cwm Ystwyth","32","1984","","No","Yes","No","N"
"64001","Dyfi","Dyfi Bridge","471","1962","","Yes","Yes","No","N"
"64002","Dysynni","Pont-y-Garth","75","1966","","Yes","Yes","No","N"
"64004","Twymyn","Cemmaes Road","111","1968","2001","No","Yes","No",""
"64006","Leri","Dolybont","47","1971","","Yes","Yes","No","S"
"64010","Mawddach","Tyddyn Gwladys","63","1994","","No","Yes","No","N"
"64011","Cerist","Llaw'r Cae","5","1997","","Yes","Yes","No","N"
"65001","Glaslyn","Beddgelert","69","1961","","Yes","Yes","No","SH"
"65004","Gwyrfai","Bontnewydd","48","1970","","Yes","Yes","No","SP"
"65005","Erch","Pencaenewydd","18","1973","","Yes","Yes","No","N"
"65006","Seiont","Peblig Mill","74","1976","","Yes","Yes","No","H"
"65007","Dwyfor","Garndolbenmaen","52","1975","","Yes","Yes","No","SRP"
"65008","Peris","Nant Peris","12","1971","","No","Yes","No","N"
"65014","Colwyn","Hafod Wydr","7","1995","","No","Yes","No",""
"65015","Llyfni","Pont Y Cim","48","1995","","No","Yes","No",""
"66001","Clwyd","Pont-y-Cambwll","404","1959","","Yes","Yes","No","RG"
"66002","Elwy","Pant yr Onen","220","1961","1973","Yes","Yes","No","P"
"66004","Wheeler","Bodfari","63","1970","","Yes","Yes","No","N"
"66005","Clwyd","Ruthin Weir","95","1970","","Yes","Yes","No","N"
"66006","Elwy","Pont-y-Gwyddel","194","1973","","Yes","Yes","No","SRP"
"66011","Conwy","Cwmlanerch","345","1964","","Yes","Yes","No","P"
"66012","Lledr","Pont Gethin","73","1969","","No","Yes","No","N"
"66025","Clwyd","Pont Dafydd","431","1995","","No","Yes","No",""
"67001","Dee","Bala","262","1957","","No","Yes","No","SR"
"67003","Brenig","Llyn Brenig outflow","20","1922","","No","Yes","No","SR"
"67005","Ceiriog","Brynkinalt Weir","114","1952","","Yes","Yes","No","N"
"67006","Alwen","Druid","185","1960","","Yes","Yes","No","SRPI"
"67008","Alyn","Pont-y-Capel","227","1965","","Yes","Yes","No","SEI"
"67009","Alyn","Rhydymwyn","78","1965","","Yes","Yes","No","N"
"67010","Gelyn","Cynefail","13","1966","","Yes","Yes","No","N"
"67013","Hirnant","Plas Rhiwedog","34","1967","1976","Yes","Yes","No","N"
"67015","Dee","Manley Hall","1013","1937","","Yes","Yes","No","SRPI"
"67017","Tryweryn","Llyn Celyn outflow","60","1969","","No","Yes","No","SRPH"
"67018","Dee","New Inn","54","1969","","Yes","Yes","No","N"
"67023","Golborne Brook","Tattenhall","18","1998","","No","Yes","Yes","RI"
"67025","Clywedog","Bowling Bank","99","1976","","No","Yes","No","GE"
"67027","Dee","Ironbridge","1674","1993","","No","Yes","No",""
"67028","Ceidiog","Llandrillo","37","1978","2000","No","Yes","No","N"
"67029","Trystion","Pen-y-felin Fawr","12","1977","1986","No","Yes","No","SP"
"67033","Dee","Chester Suspension Bridge","1817","1994","","No","Yes","No","SRP"
"68001","Weaver","Ashbrook","622","1937","","Yes","Yes","Yes","PGE"
"68002","Gowy","Picton","156","1949","1980","No","Yes","No","PG"
"68003","Dane","Rudheath","407","1949","","Yes","Yes","Yes","SPGEI"
"68004","Wistaston Brook","Marshfield Bridge","93","1957","","No","Yes","No","PGEI"
"68005","Weaver","Audlem","207","1952","","Yes","Yes","Yes","PGE"
"68006","Dane","Hulme Walfield","150","1953","1986","Yes","Yes","No","SPGI"
"68007","Wincham Brook","Lostock Gralam","148","1962","","Yes","Yes","No","PGEI"
"68010","Fender","Ford Lane","18","1973","1981","Yes","No","No",""
"68011","Arley Brook","Gore Farm","37","1973","1982","Yes","Yes","No","N"
"68015","Gowy","Huxley","49","1973","","No","Yes","No","PG"
"68018","Dane","Congleton Park","145","1936","","Yes","Yes","Yes","SPG"
"68020","Gowy","Bridge Trafford","156","1979","","Yes","Yes","Yes","PG"
"68021","Arrowe Brook","Acton Lane","18","2005","","Yes","Yes","Yes",""
"68044","Dane","Hug Bridge","73","1992","","Yes","Yes","Yes",""
"69001","Mersey","Irlam Weir","679","1934","1983","No","Yes","No","SPGEI"
"69002","Irwell","Adelphi Weir","559","1949","","No","Yes","No","SPGEI"
"69003","Irk","Scotland Weir","73","1949","2001","Yes","Yes","No","SPGEI"
"69004","Etherow","Bottoms Reservoir","78","1945","1981","No","Yes","No","S"
"69005","Glaze Brook","Little Woolden Hall","152","1953","","Yes","Yes","Yes","PGEI"
"69006","Bollin","Dunham Massey","258","1955","2002","Yes","Yes","No","SPGEI"
"69007","Mersey","Ashton Weir","660","1958","","Yes","Yes","Yes","SPGEI"
"69008","Dean","Stanneylands","59","1967","","Yes","Yes","Yes","SPGEI"
"69011","Micker Brook","Cheadle","67","1970","2006","Yes","No","No","SPGEI"
"69012","Bollin","Wilmslow","73","1968","","Yes","Yes","Yes","SPGEI"
"69013","Sinderland Brook","Partington","45","1968","","No","Yes","No","PGEI"
"69015","Etherow","Compstall","156","1977","","Yes","Yes","Yes","SPGEI"
"69017","Goyt","Marple Bridge","183","1969","","Yes","Yes","Yes","SPGEI"
"69019","Worsley Brook","Eccles","25","1969","2001","Yes","Yes","No","PGEI"
"69020","Medlock","London Road","58","1954","","Yes","Yes","Yes","SPGEI"
"69022","Irwell","Irwell Vale","101","1964","","Yes","Yes","Yes","SPGEI"
"69023","Roch","Blackford Bridge","186","1949","","Yes","Yes","Yes","SPGEI"
"69024","Croal","Farnworth Weir","145","1948","","Yes","Yes","Yes","SPGEI"
"69025","Irwell","Manchester Racecourse","557","1941","","Yes","No","Yes","SPGEI"
"69027","Tame","Portwood","150","1943","","Yes","Yes","Yes","SPGEI"
"69028","Mersey","Brinksway","517","1955","","Yes","Yes","Yes","SPGEI"
"69030","Sankey Brook","Causey Bridges","154","1953","","Yes","Yes","Yes","PEI"
"69032","Alt","Kirkby","90","1963","","Yes","Yes","Yes","GEI"
"69033","Alt","Sefton","100","1953","1975","No","Yes","No",""
"69035","Irwell","Bury Bridge","155","1953","1998","No","Yes","No","SPGEI"
"69037","Mersey","Westy","2030","1977","","No","Yes","No","SPGEI"
"69039","Medlock","New Viaduct Street","56","1949","1960","No","Yes","No",""
"69041","Tame","Broomstairs","113","1974","","Yes","Yes","Yes","S"
"69042","Ding Brook","Naden Reservoir","2","1982","2005","No","Yes","No","N"
"69043","Irk","Collyhurst Weir","72","1995","","Yes","Yes","Yes",""
"69044","Irwell","Bury Ground","140","1992","","Yes","Yes","Yes","SPGEI"
"69045","Bollin","Bollington Mill Total","257","2000","","No","Yes","No","SPGEI"
"69046","Bradshaw Brook","Bradshaw Tennis Club","37","2000","","Yes","Yes","Yes",""
"69047","Roch","Littleborough","15","1993","","Yes","Yes","Yes",""
"69048","Tame","Uppermill","41","1998","","Yes","No","No",""
"69803","Roch","Rochdale","111","1993","","Yes","Yes","Yes",""
"70001","Douglas","Rivington Reservoirs","39","1951","1973","No","Yes","No","S"
"70002","Douglas","Wanes Blades Bridge","198","1966","","Yes","Yes","Yes","SRPEI"
"70003","Douglas","Wigan","55","1973","","Yes","Yes","Yes","SRPEI"
"70004","Yarrow","Croston Mill","74","1976","","Yes","Yes","Yes","SPGEI"
"70005","Lostock","Littlewood Bridge","56","1974","2009","Yes","Yes","No","N"
"71001","Ribble","Samlesbury","1145","1960","","Yes","Yes","Yes","SE"
"71002","Hodder","Stocks Reservoir","37","1968","","No","Yes","No","S"
"71003","Croasdale Beck","Croasdale Flume","10","1957","1974","Yes","Yes","No",""
"71004","Calder","Whalley Weir","316","1963","","Yes","Yes","Yes","EI"
"71005","Bottoms Beck","Bottoms Beck flume","11","1960","1974","No","Yes","No",""
"71006","Ribble","Henthorn","456","1968","","Yes","Yes","Yes","N"
"71008","Hodder","Hodder Place","261","1969","","Yes","Yes","Yes","SRP"
"71009","Ribble","New Jumbles Rock","1053","1970","","Yes","Yes","Yes","SRP"
